시군구별,유소년 인구수,생산 연령 인구수,고령 인구수,학령 인구수(초등학교),학령 인구수(중학교),학령 인구수(고등학교),학령 인구수(대학교)
중구,"15,522","86,305","41,280","6,489","2,896","2,613","3,907"
동구,"4,547","31,689","22,741","1,856",798,767,"1,287"
미추홀구,"35,817","251,829","141,781","14,437","6,204","5,989","10,828"
연수구,"50,192","263,589","99,452","21,926","10,388","9,768","15,207"
남동구,"56,805","344,699","174,464","23,569","10,212","9,530","15,394"
부평구,"40,789","280,757","151,694","16,162","6,982","6,679","11,493"
계양구,"20,772","153,497","88,061","8,301","3,606","3,491","6,177"
서구,"66,106","366,629","151,282","27,422","11,931","11,051","17,525"
강화군,"4,025","33,436","44,129","1,779",846,815,"1,290"
옹진군,"1,241","11,286","11,081",492,207,201,446
